Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Weight Unit,Status,Metafield: custom.style_group [single_line_text_field],Metafield: custom.style_name [single_line_text_field],Metafield: custom.colour_name [single_line_text_field],Metafield: custom.colour_code [single_line_text_field],Metafield: custom.swatch_hex [single_line_text_field],Metafield: custom.colour_note [multi_line_text_field],Metafield: custom.intro [multi_line_text_field],Metafield: custom.fabric [single_line_text_field],Metafield: custom.care [multi_line_text_field],Metafield: custom.fit [multi_line_text_field],Metafield: custom.nursing_access [multi_line_text_field]
riwa-mushroom-taupe,Riwa Linen Abaya — Mushroom Taupe,"<p>Crafted from a quality linen fabric, this closed abaya features a discreet breastfeeding zip, making it practical while maintaining a modest and polished look.</p>
<p>The sleeves are finished with a stylish slit detail and adjustable tie ropes, complemented by delicate beadwork matching the abaya colour for an understated touch of luxury.</p>
<p>Designed with convenience in mind, the abaya includes hidden side pockets, while our signature gold metal brand tag and branded fabric label add a refined finishing touch.</p>
<ul><li>Premium linen fabric</li><li>Closed abaya design</li><li>Discreet breastfeeding zip</li><li>Slit sleeves with adjustable tie ropes</li><li>Matching beadwork on sleeves</li><li>Hidden side pockets</li><li>Gold metal brand tag</li><li>Branded fabric label</li><li>Sizes 52, 54, 56 and 58</li><li>Includes a matching hijab</li></ul>",HANAN,Apparel & Accessories > Clothing > Dresses,Abaya,"everyday, nursing access, breastfeeding abaya, Riwa Linen Abaya, Mushroom Taupe",FALSE,Size,52,RIWA-MUSHROOM-TAUPE-52,0,shopify,0,deny,manual,75.00,,TRUE,TRUE,,,,FALSE,Riwa Linen Abaya in Mushroom Taupe | Nursing Abaya | HANAN,"Riwa Linen Abaya in Mushroom Taupe. Warm muted taupe with a soft brown-grey undertone. Sizes 52–58, with a matching hijab and concealed nursing access.",g,draft,riwa,Riwa Linen Abaya,Mushroom Taupe,19,#9C8B7D,Warm muted taupe with a soft brown-grey undertone.,"Effortlessly elegant and designed with everyday comfort in mind, combining a relaxed silhouette with thoughtful details for the modern woman.",Premium linen,"Cool machine wash at 30°, inside out, with similar colours. Cool iron on the reverse. Do not tumble dry.","Loose through the body, closed front, full-length slit sleeve with adjustable tie ropes.","A discreet breastfeeding zip set into the front of the abaya. Closed, it reads as part of the design; open, it gives you room to feed without undressing."
riwa-mushroom-taupe,,,,,,,,Size,54,RIWA-MUSHROOM-TAUPE-54,0,shopify,0,deny,manual,75.00,,TRUE,TRUE,,,,,,,g,,,,,,,,,,,,
riwa-mushroom-taupe,,,,,,,,Size,56,RIWA-MUSHROOM-TAUPE-56,0,shopify,0,deny,manual,75.00,,TRUE,TRUE,,,,,,,g,,,,,,,,,,,,
riwa-mushroom-taupe,,,,,,,,Size,58,RIWA-MUSHROOM-TAUPE-58,0,shopify,0,deny,manual,75.00,,TRUE,TRUE,,,,,,,g,,,,,,,,,,,,
riwa-sage-mist,Riwa Linen Abaya — Sage Mist,"<p>Crafted from a quality linen fabric, this closed abaya features a discreet breastfeeding zip, making it practical while maintaining a modest and polished look.</p>
<p>The sleeves are finished with a stylish slit detail and adjustable tie ropes, complemented by delicate beadwork matching the abaya colour for an understated touch of luxury.</p>
<p>Designed with convenience in mind, the abaya includes hidden side pockets, while our signature gold metal brand tag and branded fabric label add a refined finishing touch.</p>
<ul><li>Premium linen fabric</li><li>Closed abaya design</li><li>Discreet breastfeeding zip</li><li>Slit sleeves with adjustable tie ropes</li><li>Matching beadwork on sleeves</li><li>Hidden side pockets</li><li>Gold metal brand tag</li><li>Branded fabric label</li><li>Sizes 52, 54, 56 and 58</li><li>Includes a matching hijab</li></ul>",HANAN,Apparel & Accessories > Clothing > Dresses,Abaya,"everyday, nursing access, breastfeeding abaya, Riwa Linen Abaya, Sage Mist",FALSE,Size,52,RIWA-SAGE-MIST-52,0,shopify,0,deny,manual,75.00,,TRUE,TRUE,,,,FALSE,Riwa Linen Abaya in Sage Mist | Nursing Abaya | HANAN,"Riwa Linen Abaya in Sage Mist. Muted sage green with a cool, grey undertone. Sizes 52–58, with a matching hijab and concealed nursing access.",g,draft,riwa,Riwa Linen Abaya,Sage Mist,22,#9AA694,"Muted sage green with a cool, grey undertone.","Effortlessly elegant and designed with everyday comfort in mind, combining a relaxed silhouette with thoughtful details for the modern woman.",Premium linen,"Cool machine wash at 30°, inside out, with similar colours. Cool iron on the reverse. Do not tumble dry.","Loose through the body, closed front, full-length slit sleeve with adjustable tie ropes.","A discreet breastfeeding zip set into the front of the abaya. Closed, it reads as part of the design; open, it gives you room to feed without undressing."
riwa-sage-mist,,,,,,,,Size,54,RIWA-SAGE-MIST-54,0,shopify,0,deny,manual,75.00,,TRUE,TRUE,,,,,,,g,,,,,,,,,,,,
riwa-sage-mist,,,,,,,,Size,56,RIWA-SAGE-MIST-56,0,shopify,0,deny,manual,75.00,,TRUE,TRUE,,,,,,,g,,,,,,,,,,,,
riwa-sage-mist,,,,,,,,Size,58,RIWA-SAGE-MIST-58,0,shopify,0,deny,manual,75.00,,TRUE,TRUE,,,,,,,g,,,,,,,,,,,,
riwa-dusty-blue,Riwa Linen Abaya — Dusty Blue,"<p>Crafted from a quality linen fabric, this closed abaya features a discreet breastfeeding zip, making it practical while maintaining a modest and polished look.</p>
<p>The sleeves are finished with a stylish slit detail and adjustable tie ropes, complemented by delicate beadwork matching the abaya colour for an understated touch of luxury.</p>
<p>Designed with convenience in mind, the abaya includes hidden side pockets, while our signature gold metal brand tag and branded fabric label add a refined finishing touch.</p>
<ul><li>Premium linen fabric</li><li>Closed abaya design</li><li>Discreet breastfeeding zip</li><li>Slit sleeves with adjustable tie ropes</li><li>Matching beadwork on sleeves</li><li>Hidden side pockets</li><li>Gold metal brand tag</li><li>Branded fabric label</li><li>Sizes 52, 54, 56 and 58</li><li>Includes a matching hijab</li></ul>",HANAN,Apparel & Accessories > Clothing > Dresses,Abaya,"everyday, nursing access, breastfeeding abaya, Riwa Linen Abaya, Dusty Blue",FALSE,Size,52,RIWA-DUSTY-BLUE-52,0,shopify,0,deny,manual,75.00,,TRUE,TRUE,,,,FALSE,Riwa Linen Abaya in Dusty Blue | Nursing Abaya | HANAN,"Riwa Linen Abaya in Dusty Blue. Soft muted blue with a slightly grey undertone. Sizes 52–58, with a matching hijab and concealed nursing access.",g,draft,riwa,Riwa Linen Abaya,Dusty Blue,32,#8C9CAB,Soft muted blue with a slightly grey undertone.,"Effortlessly elegant and designed with everyday comfort in mind, combining a relaxed silhouette with thoughtful details for the modern woman.",Premium linen,"Cool machine wash at 30°, inside out, with similar colours. Cool iron on the reverse. Do not tumble dry.","Loose through the body, closed front, full-length slit sleeve with adjustable tie ropes.","A discreet breastfeeding zip set into the front of the abaya. Closed, it reads as part of the design; open, it gives you room to feed without undressing."
riwa-dusty-blue,,,,,,,,Size,54,RIWA-DUSTY-BLUE-54,0,shopify,0,deny,manual,75.00,,TRUE,TRUE,,,,,,,g,,,,,,,,,,,,
